ServiceDetailsID,ServiceID,Description,IGSTRate,IGSTAmount,HSNCode,QNTY,SparePart,Unit,DiscountRate,DiscountAmount,SalePrice,Amount,TaxableAmount,TotalAmount
"19249","4180","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","12647.00"
"19261","4115","Wheel Bearing Lathe","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","300.00"
"19262","4225","Radiator Cleaning","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1200.00"
"19263","4178","Test Work","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","13000.00"
"19264","4154","Clock Spring","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","1450.00"
"19265","4154","Wd 40","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","135.00"
"19266","4154","Cotton Waste","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","20.00"
"19267","4154","Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","2500.00"
"19268","4178","5w5 Capless Bulb","0.00","0.00","0","2.00","","Nos","0.00","0.00","","0.00","0.00","40.00"
"19269","4178","P21 Siingle Filament Bulb","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","30.00"
"19270","4178","P21/5w Bulb","0.00","0.00","0","2.00","","Nos","0.00","0.00","","0.00","0.00","60.00"
"19273","4097","Diesel For Wash","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","150.00"
"19274","4223","Engine Oil 15w40","0.00","0.00","0","5.50","","Ltr","0.00","0.00","","0.00","0.00","2860.00"
"19275","4223","Oil Filter","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","1180.00"
"19276","4223","Coolant Yellow","0.00","0.00","0","4.00","","Ltr","0.00","0.00","","0.00","0.00","1370.00"
"19277","4223","Bonet Hood Shocker","0.00","0.00","0","1.00","","Set","0.00","0.00","","0.00","0.00","4900.00"
"19278","4227","Engine Mount Rear","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","2125.00"
"19279","4225","Coolant","0.00","0.00","0","2.00","","Ltr","0.00","0.00","","0.00","0.00","800.00"
"19280","4225","Engine Oil Flush","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","650.00"
"19281","4221","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","14551.00"
"19282","4179","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1575.00"
"19283","4224","Valve Door Packing","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","1760.00"
"19284","4224","Super Sealer Gray","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","90.00"
"19285","4224","Cotton Waste","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","30.00"
"19286","4225","Labour Charge","0.00","0.00","0","0.00","","","0.00","0.00","","0.00","0.00","3200.00"
"19287","4226","Number Plate","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","400.00"
"19288","4227","Gear Box Bolt Welding & Threading Lathe","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","500.00"
"19289","4211","Engine Oil","0.00","0.00","0","4.50","","Ltr","0.00","0.00","","0.00","0.00","2160.00"
"19290","4221","A/c Gas & Oil","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1300.00"
"19291","4224","Diesel For Wash","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","100.00"
"19292","4224","Water Service","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","550.00"
"19293","4196","Odo Metre Old","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","3000.00"
"19294","4224","Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","800.00"
"19296","4154","Alignment","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","500.00"
"19297","4237","Valve Assy Vaccum Modulator","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","3500.00"
"19298","4237","Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","2000.00"
"19300","4196","Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","900.00"
"19301","4154","Water Service","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","500.00"
"19302","4226","Labour Charge","0.00","0.00","0","0.00","","","0.00","0.00","","0.00","0.00","1200.00"
"19303","4239","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","3062.00"
"19304","4239","Coolant","0.00","0.00","0","1.00","","Ltr","0.00","0.00","","0.00","0.00","400.00"
"19305","4239","Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","800.00"
"19306","4231","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","22489.00"
"19307","4238","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","4393.00"
"19308","4238","Brake Fluid","0.00","0.00","0","250.00","","Ml","0.00","0.00","","0.00","0.00","135.00"
"19309","4238","Shock Spring Old","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","800.00"
"19310","4238","Wd 40","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","135.00"
"19312","4180","Bolt & Washer","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","160.00"
"19313","4240","Engine Oil","0.00","0.00","0","5.50","","Ltr","0.00","0.00","","0.00","0.00","2640.00"
"19314","4240","Oil Filter","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","245.00"
"19315","4218","Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","500.00"
"19316","4240","Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","300.00"
"19317","4178","Petrol","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","500.00"
"19318","4231","Engine Oil","0.00","0.00","0","3.50","","Ltr","0.00","0.00","","0.00","0.00","1680.00"
"19319","4231","Oil Filtter","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","201.00"
"19320","4231","Air Filter","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","272.00"
"19321","4231","Caliper Lathe","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1000.00"
"19322","4231","Rotter Polish","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","700.00"
"19323","4231","Drum Polish","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","500.00"
"19324","4231","Lower Arm Lathe","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","100.00"
"19325","4176","Axle Service","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","4700.00"
"19326","4228","Shock Mount","0.00","0.00","0","2.00","","Nos","0.00","0.00","","0.00","0.00","4800.00"
"19327","4228","Shock Kit","0.00","0.00","0","2.00","","Nos","0.00","0.00","","0.00","0.00","3600.00"
"19328","4228","Balance Rod Bush","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","1800.00"
"19329","4228","Wd 40","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","135.00"
"19330","4178","Water Service","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","500.00"
"19331","4233","Immobilizer Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","2500.00"
"19332","4231","Coolant","0.00","0.00","0","1.00","","Ltr","0.00","0.00","","0.00","0.00","400.00"
"19333","4241","Engine Oil","0.00","0.00","0","4.20","","Ltr","0.00","0.00","","0.00","0.00","2016.00"
"19334","4241","Brake Fluid","0.00","0.00","0","250.00","","Ml","0.00","0.00","","0.00","0.00","135.00"
"19335","4241","Denting","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","200.00"
"19336","4241","Cotton Waste","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","20.00"
"19337","4241","Wd 40","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","135.00"
"19338","4241","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1453.00"
"19339","4241","Diesel Rail Service","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","400.00"
"19340","4241","Full Service Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1800.00"
"19341","4242","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1185.00"
"19342","4242","Wheel Bearing Lathe","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","300.00"
"19343","4242","Tyre Puncher","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","150.00"
"19344","4242","A/c Gas","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","500.00"
"19345","4016","Capasitor ,resistance","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","280.00"
"19346","4195","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","374.00"
"19347","4227","Mount Bolt","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","350.00"
"19348","4180","Gear Box Bracket Lathe","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1300.00"
"19349","4228","Bolt","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","60.00"
"19350","4231","Cabin Filter","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","375.00"
"19352","4241","Water Service","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","500.00"
"19353","4241","Alignment & Tyre Rotation","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","600.00"
"19354","4178","Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1200.00"
"19355","4243","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","799.00"
"19356","4243","Brake Fluid","0.00","0.00","0","250.00","","Ml","0.00","0.00","","0.00","0.00","135.00"
"19357","4243","Atf Oil","0.00","0.00","0","250.00","","Ml","0.00","0.00","","0.00","0.00","110.00"
"19359","4189","Wheel Bearing Lathe","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","300.00"
"19360","4246","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","4421.00"
"19361","4246","Steering Box Lathe","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","800.00"
"19363","4176","Injector Seating Washer","0.00","0.00","0","4.00","","Nos","0.00","0.00","","0.00","0.00","100.00"
"19364","4176","Brake Fluid","0.00","0.00","0","250.00","","Ml","0.00","0.00","","0.00","0.00","135.00"
"19365","4176","A/c Gas & Oil","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1300.00"
"19366","4176","Cabin Filter","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","375.00"
"19367","4176","Cotton Waste","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","30.00"
"19368","4253","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","7308.00"
"19369","4253","Front Grill Chrome","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","1257.00"
"19370","4253","Clock Spring & Roof Top Fixing Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1500.00"
"19371","4176","Wd 40","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","135.00"
"19372","4176","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","3662.00"
"19373","4176","Lower Arm Bush Lathe","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","400.00"
"19374","4176","Number Plate","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","600.00"
"19375","4246","Rack Bush","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","450.00"
"19376","4246","Wheel Bearing Lathe","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","400.00"
"19377","4176","Vaccum Hose","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","300.00"
"19378","4254","Battery","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","4000.00"
"19379","4228","Cotton Waste","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","30.00"
"19380","4228","Courier Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","100.00"
"19381","4228","Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","2000.00"
"19382","4250","Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1200.00"
"19383","4254","Water Service","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","500.00"
"19384","4254","Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","500.00"
"19385","4246","Grease","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","90.00"
"19386","4246","Cotton Waste","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","30.00"
"19387","4246","Wd 40","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","135.00"
"19388","4246","Tag","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","40.00"
"19389","4246","Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","2500.00"
"19390","4246","Alignment","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","500.00"
"19391","4176","Mechanical Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","2500.00"
"19392","4176","A/c Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","2500.00"
"19393","4223","Super Sealer Gray","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","135.00"
"19394","4223","Wd 40","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","135.00"
"19395","4223","Cotton Waste","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","30.00"
"19396","4223","Labour Charge","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","2500.00"
"19397","4179","Tie Rod End","0.00","0.00","0","2.00","","Nos","0.00","0.00","","0.00","0.00","2875.00"
"19398","4262","Spare Parts","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","799.00"
"19399","4252","Ecm Service & Immobilizer Programing","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","6500.00"
"19400","4252","Brake Fluid","0.00","0.00","0","500.00","","Ml","0.00","0.00","","0.00","0.00","370.00"
"19401","4247","A/c Gas & Oil","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","1300.00"
"19402","4203","Abs Sensor Service","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","0.00"
"19403","4203","Power Window Service","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","0.00"
"19404","4203","Abs Sensor Flh","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","1700.00"
"19405","4264","Starter Brush","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","850.00"
"19406","4264","Diesel For Wash","0.00","0.00","0","","","","0.00","0.00","","0.00","0.00","50.00"
"19407","4258","Alternator Pulley","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","3200.00"
"19408","4266","Engine Oil","0.00","0.00","0","5.50","","Ltr","0.00","0.00","","0.00","0.00","2860.00"
"19409","4266","Oil Filter","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","1180.00"
