ServiceDetailsID,ServiceID,Description,ServiceEntryFound,JobCardNumber,CustomerID,VehicleID,Reason
"19346","4195","Spare Parts","no","","","","jobcard_missing"
"19347","4227","Mount Bolt","no","","","","jobcard_missing"
"19348","4180","Gear Box Bracket Lathe","no","","","","jobcard_missing"
"19349","4228","Bolt","no","","","","jobcard_missing"
"19350","4231","Cabin Filter","no","","","","jobcard_missing"
"19352","4241","Water Service","no","","","","jobcard_missing"
"19353","4241","Alignment & Tyre Rotation","no","","","","jobcard_missing"
"19354","4178","Labour Charge","no","","","","jobcard_missing"
"19355","4243","Spare Parts","no","","","","jobcard_missing"
"19356","4243","Brake Fluid","no","","","","jobcard_missing"
"19357","4243","Atf Oil","no","","","","jobcard_missing"
"19359","4189","Wheel Bearing Lathe","no","","","","jobcard_missing"
"19360","4246","Spare Parts","no","","","","jobcard_missing"
"19361","4246","Steering Box Lathe","no","","","","jobcard_missing"
"19363","4176","Injector Seating Washer","no","","","","jobcard_missing"
"19364","4176","Brake Fluid","no","","","","jobcard_missing"
"19365","4176","A/c Gas & Oil","no","","","","jobcard_missing"
"19366","4176","Cabin Filter","no","","","","jobcard_missing"
"19367","4176","Cotton Waste","no","","","","jobcard_missing"
"19368","4253","Spare Parts","no","","","","jobcard_missing"
"19369","4253","Front Grill Chrome","no","","","","jobcard_missing"
"19370","4253","Clock Spring & Roof Top Fixing Labour Charge","no","","","","jobcard_missing"
"19371","4176","Wd 40","no","","","","jobcard_missing"
"19372","4176","Spare Parts","no","","","","jobcard_missing"
"19373","4176","Lower Arm Bush Lathe","no","","","","jobcard_missing"
"19374","4176","Number Plate","no","","","","jobcard_missing"
"19375","4246","Rack Bush","no","","","","jobcard_missing"
"19376","4246","Wheel Bearing Lathe","no","","","","jobcard_missing"
"19377","4176","Vaccum Hose","no","","","","jobcard_missing"
"19378","4254","Battery","no","","","","jobcard_missing"
"19379","4228","Cotton Waste","no","","","","jobcard_missing"
"19380","4228","Courier Charge","no","","","","jobcard_missing"
"19381","4228","Labour Charge","no","","","","jobcard_missing"
"19382","4250","Labour Charge","no","","","","jobcard_missing"
"19383","4254","Water Service","no","","","","jobcard_missing"
"19384","4254","Labour Charge","no","","","","jobcard_missing"
"19385","4246","Grease","no","","","","jobcard_missing"
"19386","4246","Cotton Waste","no","","","","jobcard_missing"
"19387","4246","Wd 40","no","","","","jobcard_missing"
"19388","4246","Tag","no","","","","jobcard_missing"
"19389","4246","Labour Charge","no","","","","jobcard_missing"
"19390","4246","Alignment","no","","","","jobcard_missing"
"19391","4176","Mechanical Labour Charge","no","","","","jobcard_missing"
"19392","4176","A/c Labour Charge","no","","","","jobcard_missing"
"19393","4223","Super Sealer Gray","no","","","","jobcard_missing"
"19394","4223","Wd 40","no","","","","jobcard_missing"
"19395","4223","Cotton Waste","no","","","","jobcard_missing"
"19396","4223","Labour Charge","no","","","","jobcard_missing"
"19397","4179","Tie Rod End","no","","","","jobcard_missing"
"19398","4262","Spare Parts","no","","","","jobcard_missing"
"19399","4252","Ecm Service & Immobilizer Programing","no","","","","jobcard_missing"
"19400","4252","Brake Fluid","no","","","","jobcard_missing"
"19401","4247","A/c Gas & Oil","no","","","","jobcard_missing"
"19402","4203","Abs Sensor Service","no","","","","jobcard_missing"
"19403","4203","Power Window Service","no","","","","jobcard_missing"
"19404","4203","Abs Sensor Flh","no","","","","jobcard_missing"
"19405","4264","Starter Brush","no","","","","jobcard_missing"
"19406","4264","Diesel For Wash","no","","","","jobcard_missing"
"19407","4258","Alternator Pulley","no","","","","jobcard_missing"
"19408","4266","Engine Oil","no","","","","jobcard_missing"
"19409","4266","Oil Filter","no","","","","jobcard_missing"
"19410","4266","Coolant Yellow","no","","","","jobcard_missing"
"19411","4266","Bonet Hood Shocker","no","","","","jobcard_missing"
"19412","4266","Super Sealer Gray","no","","","","jobcard_missing"
"19413","4266","Wd 40","no","","","","jobcard_missing"
"19414","4266","Cotton Waste","no","","","","jobcard_missing"
"19415","4266","Labour Charge","no","","","","jobcard_missing"
"19416","4252","Brake Service Labour Charge","no","","","","jobcard_missing"
"19417","4203","Brake Fluid","no","","","","jobcard_missing"
"19418","4203","Brake Service Labour Charge","no","","","","jobcard_missing"
"19419","4263","Spare Parts","no","","","","jobcard_missing"
"19420","4263","Cabin Filter","no","","","","jobcard_missing"
"19421","4263","Valve Pin","no","","","","jobcard_missing"
"19422","4249","Clutch Set Assy","no","","","","jobcard_missing"
"19424","4249","Spare Parts","no","","","","jobcard_missing"
"19425","4249","Rotter Polish","no","","","","jobcard_missing"
"19426","4227","Bumper Patchwork","no","","","","jobcard_missing"
"19427","4227","Cotton Waste","no","","","","jobcard_missing"
"19428","4227","Labourcharge","no","","","","jobcard_missing"
"19429","4257","Engine Oil","no","","","","jobcard_missing"
"19430","4257","Oil Filter","no","","","","jobcard_missing"
"19431","4257","Vaccum Hose","no","","","","jobcard_missing"
"19433","4073","Denting","no","","","","jobcard_missing"
"19434","4073","Number Plate","no","","","","jobcard_missing"
"19436","4073","Rain Guard","no","","","","jobcard_missing"
"19437","4073","Interior Washing","no","","","","jobcard_missing"
"19439","3926","Gear Selector Assy","no","","","","jobcard_missing"
"19440","4193","Wd 40","no","","","","jobcard_missing"
"19441","4193","Brake Fluid","no","","","","jobcard_missing"
"19442","4193","Cotton Waste","no","","","","jobcard_missing"
"19443","4264","M Seal","no","","","","jobcard_missing"
"19444","4264","Labour Charge","no","","","","jobcard_missing"
"19446","4073","Wd 40","no","","","","jobcard_missing"
"19447","4231","Brake Liner","no","","","","jobcard_missing"
"19448","4268","Spare Parts","no","","","","jobcard_missing"
"19449","4268","Brake Fluid","no","","","","jobcard_missing"
"19450","4268","Wd 40","no","","","","jobcard_missing"
"19451","4268","Cotton Waste","no","","","","jobcard_missing"
"19452","4268","Labour Charge","no","","","","jobcard_missing"
"19453","3926","Gear Liver Shaft","no","","","","jobcard_missing"
"19454","3926","Spare Parts","no","","","","jobcard_missing"
"19455","4249","Lower Arm Bush Lathe","no","","","","jobcard_missing"
"19456","4073","Spare Parts","no","","","","jobcard_missing"
"19457","4073","Diesel","no","","","","jobcard_missing"
"19458","4269","Engine Oil","no","","","","jobcard_missing"
"19459","4269","Oil Filter","no","","","","jobcard_missing"
"19460","4212","Spare Parts","no","","","","jobcard_missing"
"19461","4193","Water Service","no","","","","jobcard_missing"
"19462","4193","Alignment","no","","","","jobcard_missing"
"19463","4193","Labour Charge","no","","","","jobcard_missing"
"19464","4263","A/c Gas & Oil","no","","","","jobcard_missing"
"19465","4262","Cluster Programing","no","","","","jobcard_missing"
"19466","4195","Egr Cleaning & Labour Charge","no","","","","jobcard_missing"
"19467","4073","Labour Charge","no","","","","jobcard_missing"
"19468","4267","Clutch Set Assy","no","","","","jobcard_missing"
"19469","4267","Clutch Release Bearing","no","","","","jobcard_missing"
"19470","4267","Rack Bush","no","","","","jobcard_missing"
"19471","4267","Lower Arm Bush & End Lathe","no","","","","jobcard_missing"
"19472","4267","Steering Box Lathe","no","","","","jobcard_missing"
"19473","4263","Labour Charge","no","","","","jobcard_missing"
"19474","4262","Labour Charge","no","","","","jobcard_missing"
"19475","4208","Labour Charge","no","","","","jobcard_missing"
"19476","3912","Labour Charge","no","","","","jobcard_missing"
"19477","4267","Stabilizer Link","no","","","","jobcard_missing"
"19478","4249","Engine Oil 15w40","no","","","","jobcard_missing"
"19479","4175","Engine Head Lathe","no","","","","jobcard_missing"
"19480","4271","Spare Parts","no","","","","jobcard_missing"
"19481","4175","Spare Parts","no","","","","jobcard_missing"
"19482","4248","Iginition Coil","no","","","","jobcard_missing"
"19483","4265","Spare Parts","no","","","","jobcard_missing"
"19484","4265","Brake Pad","no","","","","jobcard_missing"
"19485","4265","Rotter Polish","no","","","","jobcard_missing"
"19486","4267","Caliper Lathe","no","","","","jobcard_missing"
"19487","4267","Brake Pad","no","","","","jobcard_missing"
"19488","4273","Battery","no","","","","jobcard_missing"
"19489","4273","Labour Charge","no","","","","jobcard_missing"
"19490","4249","Gear Selector Shaft","no","","","","jobcard_missing"
"19491","3926","Diesel For Wash","no","","","","jobcard_missing"
"19492","4269","Coolant","no","","","","jobcard_missing"
"19493","4022","Starter Service","no","","","","jobcard_missing"
"19495","4022","Labour Charge","no","","","","jobcard_missing"
"19497","4272","Spare Parts","no","","","","jobcard_missing"
"19498","4272","Brake Pad","no","","","","jobcard_missing"
"19499","4217","Belt 6pk1873","no","","","","jobcard_missing"
"19500","4177","Alternator Regulator","no","","","","jobcard_missing"
"19501","4177","Coolant","no","","","","jobcard_missing"
"19502","4175","Diesel For Wash","no","","","","jobcard_missing"
"19503","4097","Caliper Set Old","no","","","","jobcard_missing"
"19504","4267","Suspension Ball Joint","no","","","","jobcard_missing"
"19505","4267","Spare Parts","no","","","","jobcard_missing"
"19506","4267","Lower Arm Bush Set","no","","","","jobcard_missing"
"19507","4267","Balance Rod Bush","no","","","","jobcard_missing"
"19508","4267","Brake Fluid","no","","","","jobcard_missing"
"19509","4267","Wd 40","no","","","","jobcard_missing"
"19510","4267","Cotton Waste","no","","","","jobcard_missing"
"19511","4267","Grease","no","","","","jobcard_missing"
"19512","4267","Labour Charge","no","","","","jobcard_missing"
"19514","4269","Belt","no","","","","jobcard_missing"
"19515","4269","Spark Plug","no","","","","jobcard_missing"
"19516","4217","Labourcharge","no","","","","jobcard_missing"
"19517","4269","Wd 40","no","","","","jobcard_missing"
"19518","4269","Cotton Waste","no","","","","jobcard_missing"
"19519","4269","Labour Charge","no","","","","jobcard_missing"
"19520","4258","Lathe","no","","","","jobcard_missing"
"19521","4258","Labour Charge","no","","","","jobcard_missing"
"19522","4211","Spare Parts","no","","","","jobcard_missing"
"19523","4248","Central Lock Hanging Remote","no","","","","jobcard_missing"
"19525","4281","Oil Filter","no","","","","jobcard_missing"
"19526","4281","Spare Parts","no","","","","jobcard_missing"
"19527","4221","Power Steering Labour Charge","no","","","","jobcard_missing"
"19528","4212","Injector Service","no","","","","jobcard_missing"
"19529","4212","Labour Charge & Scaning","no","","","","jobcard_missing"
"19530","4212","Petrol","no","","","","jobcard_missing"
"19531","4221","A/c Labour Charge","no","","","","jobcard_missing"
"19533","4212","Headlight Bulb","no","","","","jobcard_missing"
"19534","4221","Old Balance","no","","","","jobcard_missing"
"19535","4177","Spare Parts","no","","","","jobcard_missing"
"19536","4285","Spare Parts","no","","","","jobcard_missing"
"19537","4230","Spare Parts","no","","","","jobcard_missing"
"19538","4282","Spare Parts","no","","","","jobcard_missing"
"19539","4282","Engine Oil","no","","","","jobcard_missing"
"19540","4177","Lower Arm Ball Lathe","no","","","","jobcard_missing"
"19541","4177","Rotter Polish","no","","","","jobcard_missing"
"19542","4177","Caliper Lathe","no","","","","jobcard_missing"
"19543","4177","Steering Box Lathe","no","","","","jobcard_missing"
"19544","4177","Brake Pad","no","","","","jobcard_missing"
"19545","4248","Wd 40","no","","","","jobcard_missing"
"19546","4177","Balance Rod Bush","no","","","","jobcard_missing"
"19547","4177","Wd 40","no","","","","jobcard_missing"
"19548","4177","Cotton Waste","no","","","","jobcard_missing"
"19549","4177","Brake Fluid","no","","","","jobcard_missing"
"19550","4177","Labour Charge","no","","","","jobcard_missing"
"19551","4287","Horn Piaa","no","","","","jobcard_missing"
"19552","4248","Cotton Waste","no","","","","jobcard_missing"
"19553","4248","Engine Oil","no","","","","jobcard_missing"
"19554","4211","Coolant","no","","","","jobcard_missing"
"19555","4211","Cabin Filter","no","","","","jobcard_missing"
"19556","4211","Labour Charge","no","","","","jobcard_missing"
"19557","4275","Spare Parts","no","","","","jobcard_missing"
"19558","4249","Gear Oil 75w80","no","","","","jobcard_missing"
"19559","3926","Gear Cable","no","","","","jobcard_missing"
"19560","4282","Gear Oil","no","","","","jobcard_missing"
"19561","4272","Grease","no","","","","jobcard_missing"
"19562","4272","Brake Fluid","no","","","","jobcard_missing"
"19563","4174","Labour","no","","","","jobcard_missing"
"19564","4272","Wd 40","no","","","","jobcard_missing"
"19565","4248","Oil Filter","no","","","","jobcard_missing"
"19566","4248","Labour Charge","no","","","","jobcard_missing"
"19567","4287","Valve Pin","no","","","","jobcard_missing"
"19568","4287","A/c Gas & Oil","no","","","","jobcard_missing"
"19569","3926","Gear Oil","no","","","","jobcard_missing"
"19570","3926","A/c Gas & Oil","no","","","","jobcard_missing"
"19571","3926","Cabin Filter","no","","","","jobcard_missing"
"19572","3926","Wd 40","no","","","","jobcard_missing"
"19573","4275","Lower Arm Ball Joint","no","","","","jobcard_missing"
"19574","3926","Foam","no","","","","jobcard_missing"
"19575","4287","Door Actuator","no","","","","jobcard_missing"
"19576","4257","Washer","no","","","","jobcard_missing"
"19577","3926","Fevibond","no","","","","jobcard_missing"
"19578","3926","A/c Labour Charge","no","","","","jobcard_missing"
"19579","3926","Mechanical Labour Charge","no","","","","jobcard_missing"
"19580","4230","Coolant","no","","","","jobcard_missing"
"19581","4230","Labour Charge","no","","","","jobcard_missing"
"19582","4230","Water Service","no","","","","jobcard_missing"
"19583","4272","Labour Charge","no","","","","jobcard_missing"
"19584","4285","Labour Charge","no","","","","jobcard_missing"
"19585","4271","Labour Charge","no","","","","jobcard_missing"
"19586","4282","Drum Polish","no","","","","jobcard_missing"
"19587","4282","Caliper Lathe","no","","","","jobcard_missing"
"19588","4282","Brake Fluid","no","","","","jobcard_missing"
"19589","4282","Wd 40","no","","","","jobcard_missing"
"19590","4282","Labour Charge","no","","","","jobcard_missing"
"19591","4261","Coolant Pump","no","","","","jobcard_missing"
"19592","4276","Rectifier Assy","no","","","","jobcard_missing"
"19593","4024","Wheel Speed Sensor Rr Rh","no","","","","jobcard_missing"
"19594","4024","Wheel Speed Sensor Fr","no","","","","jobcard_missing"
"19595","4289","Spare Parts","no","","","","jobcard_missing"
"19596","4289","Tag","no","","","","jobcard_missing"
"19597","4261","Spare Parts","no","","","","jobcard_missing"
"19598","4289","Labouur Charge","no","","","","jobcard_missing"
"19599","4290","Spare Parts","no","","","","jobcard_missing"
"19600","4290","Tag","no","","","","jobcard_missing"
"19601","4290","Labour Charge","no","","","","jobcard_missing"
"19602","4257","Wd 40","no","","","","jobcard_missing"
"19603","4257","Cotton Waste","no","","","","jobcard_missing"
"19604","4257","Bond","no","","","","jobcard_missing"
"19605","4257","Electrical Labour Charge","no","","","","jobcard_missing"
"19606","4257","Mechanical Labour Charge","no","","","","jobcard_missing"
"19608","4249","Head Light Bulb","no","","","","jobcard_missing"
"19609","4024","Brake Vaccum Pipe","no","","","","jobcard_missing"
"19610","4024","Brake Fluid Sensor","no","","","","jobcard_missing"
"19611","4024","Brake Fluid","no","","","","jobcard_missing"
"19612","4024","Thread Lock","no","","","","jobcard_missing"
"19613","4291","Spare Parts","no","","","","jobcard_missing"
"19614","4291","Brake Fluid","no","","","","jobcard_missing"
"19617","4291","Labour Charge","no","","","","jobcard_missing"
"19618","4291","","no","","","","jobcard_missing"
"19619","4249","Cabin Filter","no","","","","jobcard_missing"
"19620","4296","Denting","no","","","","jobcard_missing"
"19621","4296","Painting","no","","","","jobcard_missing"
"19622","4024","Water Service","no","","","","jobcard_missing"
"19623","4024","Tyre Remove & Resetting","no","","","","jobcard_missing"
"19624","4249","A/c Gas","no","","","","jobcard_missing"
"19625","4294","Cabin Filter","no","","","","jobcard_missing"
"19626","4195","Given By Customer","no","","","","jobcard_missing"
"19627","4024","Labour Charge","no","","","","jobcard_missing"
"19628","4294","A/c Gas","no","","","","jobcard_missing"
"19629","4294","Power Window Switch Repaire","no","","","","jobcard_missing"
"19630","4294","Labour Charge","no","","","","jobcard_missing"
"19631","4249","Brake Fluid","no","","","","jobcard_missing"
"19632","4249","Tag","no","","","","jobcard_missing"
"19633","4249","Painting & Polish","no","","","","jobcard_missing"
"19634","4179","Steering Box Rack Old","no","","","","jobcard_missing"
"19635","4179","Steering Box Lathe","no","","","","jobcard_missing"
"19636","4179","Lower Arm Bush Lathe","no","","","","jobcard_missing"
"19637","4179","Labour Charge","no","","","","jobcard_missing"
"19638","4179","Old Balance","no","","","","jobcard_missing"
"19639","4297","Alternator Pulley","no","","","","jobcard_missing"
"19640","4297","Labour Charge","no","","","","jobcard_missing"
"19641","4265","Axle Boot Service","no","","","","jobcard_missing"
